ticker,date,exchange_platform,trade_volume,trade_price
nearusdt,2024-09-21T01:05:28.027+10:00,poloniex,77.24865,4.4408611650818495
bchusdt,2024-09-21T01:05:28.044+10:00,huobi,2.0342,344.3570637105497
foxyusdt,2024-09-21T01:05:28.016+10:00,bybit,4113.71,0.008805875630513575
notusdt,2024-09-21T01:05:28.049+10:00,mexc,155.66,0.0081
foxyusdt,2024-09-21T01:05:28.016+10:00,bybit,4113.71,0.008805875630513575
gameusdt,2024-09-21T01:05:28.053+10:00,huobi,3363.5621,0.003682
btcusdc,2024-09-21T01:05:28.059+10:00,huobi,0.012611,63895.296221552606
eurcusdt,2024-09-21T01:05:28.063+10:00,huobi,84.3545,1.1062
pandousdt,2024-09-21T01:05:28.066+10:00,huobi,97136.6601,1.36E-4
ceekusdt,2024-09-21T01:05:28.067+10:00,huobi,416.7426,0.0318
maskusdt,2024-09-21T01:05:28.072+10:00,mexc,0.54,2.352
linkusdt,2024-09-21T01:05:28.064+10:00,binance,217.43000000000004,11.622458262429284
luna2usdt,2024-09-21T01:05:28.074+10:00,mexc,3.13,0.40330000000000005
bomeusdt,2024-09-21T01:05:28.080+10:00,mexc,174.92,0.007203
quick2usdt,2024-09-21T01:05:28.084+10:00,binance,9752.0,0.048747320549630845
zelixusdt,2024-09-21T01:05:28.095+10:00,huobi,520269.7066,6.16E-5
xchusdt,2024-09-21T01:05:28.108+10:00,huobi,15.7352,14.338632093649904
scausdt,2024-09-21T01:05:28.108+10:00,huobi,357.89,0.3452296683338456
msnusdt,2024-09-21T01:05:28.112+10:00,huobi,614.74,0.11279999999999998
arktry,2024-09-21T01:05:28.101+10:00,binance,146.0,12.713972602739725
blurusdc,2024-09-21T01:05:28.096+10:00,binance,26.3,0.21
hifiusdt,2024-09-21T01:05:28.105+10:00,binance,191.7,0.4984
snxeth,2024-09-21T01:05:28.108+10:00,mexc,0.34,6.072E-4
radusdt,2024-09-21T01:05:28.132+10:00,huobi,15.4688,1.1164
tngospcrvusdusdt,2024-09-21T01:05:26.000+10:00,curvefiarbitrum,1.0E-13,0.9955552751947396
spausdt,2024-09-21T01:05:28.159+10:00,huobi,1886.18,0.006734
htusdt,2024-09-21T01:05:28.150+10:00,poloniex,702.90849,0.23808048168546087
avaxusdt,2024-09-21T01:05:28.162+10:00,mexc,34.07000000000001,28.073390079248597
ptpusdt,2024-09-21T01:05:28.154+10:00,mexc,7372.74,1.709E-4
1inchusdt,2024-09-21T01:05:28.170+10:00,binance,29.2,0.2736
forthusdt,2024-09-21T01:05:28.177+10:00,binance,34.379999999999995,3.2299013961605585
dogeusdt,2024-09-21T01:05:28.185+10:00,mexc,543.42,0.10687727963637703
aptusdt,2024-09-21T01:05:28.179+10:00,poloniex,60.094390000000004,6.819313745925368
forusdt,2024-09-21T01:05:28.149+10:00,bibox,166.638,0.003702
ltcbtc,2024-09-21T01:05:28.204+10:00,binance,2.754,0.001036
sweatusdt,2024-09-21T01:05:28.223+10:00,huobi,13530.3796,0.0072672518851503625
bblusdt,2024-09-21T01:05:28.234+10:00,huobi,21106.6793,0.00763
ethfiusdt,2024-09-21T01:05:28.228+10:00,kucoin,19.29,1.5669450492483155
ltceur,2024-09-21T01:05:28.316+10:00,gdax,1.7,59.27860235294117
popcatusdt,2024-09-21T01:05:28.213+10:00,bybit,1668.0200000000002,0.9257032211843981
popcatusdt,2024-09-21T01:05:28.213+10:00,bybit,1668.0200000000002,0.9257032211843981
flmusdt,2024-09-21T01:05:28.229+10:00,binance,9727.0,0.0602
opusdt,2024-09-21T01:05:28.240+10:00,binance,1212.69,1.6839276649432247
sfpusdt,2024-09-21T01:05:28.240+10:00,binance,8.0,0.758
synusd,2024-09-21T01:05:28.287+10:00,kraken,76.30586719,0.48430000000000006
oraiusdt,2024-09-21T01:05:28.253+10:00,mexc,44.43,5.828
soleur,2024-09-21T01:05:28.337+10:00,gdax,0.186,133.13
racausdt,2024-09-21T01:05:28.267+10:00,mexc,15615.82,1.6139990701737083E-4
deeznutsusdt,2024-09-21T01:05:28.279+10:00,mexc,5046.45,2.17E-4
tngospcrvusdusdc,2024-09-21T01:05:26.000+10:00,curvefiarbitrum,1.0E-13,0.9956311568473004
deeznutsusdt,2024-09-21T01:05:28.279+10:00,mexc,4954.95,2.19E-4
tsugtusdt,2024-09-21T01:05:28.264+10:00,kucoin,3742.8639,0.0032919166368833236
aktusdt,2024-09-21T01:05:28.283+10:00,huobi,18.509,2.7014
deeznutsusdt,2024-09-21T01:05:28.279+10:00,mexc,1159.31,2.2099999999999998E-4
xdcusdt,2024-09-21T01:05:28.287+10:00,huobi,1398.8378,0.028283
dydxbtc,2024-09-21T01:05:28.290+10:00,binance,327.66,1.536E-5
gasusdt,2024-09-21T01:05:28.305+10:00,huobi,24.9839,3.5857000000000006
fidausdt,2024-09-21T01:05:28.303+10:00,binance,3917.5,0.365977705169113
bttcusdt,2024-09-21T01:05:28.319+10:00,poloniex,6.48020281E8,9.052525095591878E-7
tngospageurusdc,2024-09-21T01:05:27.000+10:00,uniswapv3arbitrum,1.0E-13,1.1133449746335529
ethwusdt,2024-09-21T01:05:28.316+10:00,okex,154.05390000000003,2.1871847035355807
nearusdt,2024-09-21T01:05:28.356+10:00,poloniex,9.07899,4.442
clvusdt,2024-09-21T01:05:28.316+10:00,okex,514.936145,0.04409
ethwusdt,2024-09-21T01:05:28.362+10:00,kucoin,10.264800000000001,2.180625491972566
strkusdt,2024-09-21T01:05:28.383+10:00,binance,2481.38,0.403
fxsusdt,2024-09-21T01:05:28.398+10:00,huobi,153.17239999999998,2.003325761951892
pdausdt,2024-09-21T01:05:28.391+10:00,binance,8676.9,0.0489
ckbtry,2024-09-21T01:05:28.393+10:00,binance,30288.0,0.5922
mkrusdt,2024-09-21T01:05:28.400+10:00,poloniex,0.09210399999999999,1559.2730869451925
manausdt,2024-09-21T01:05:28.402+10:00,poloniex,1348.0162,0.3004314427155994
umausdt,2024-09-21T01:05:28.429+10:00,huobi,90.532,2.319642799673044
wifusdt,2024-09-21T01:05:28.423+10:00,binance,3287.22,1.8379873084247484
diausdt,2024-09-21T01:05:28.435+10:00,huobi,237.6061,0.3662496737247065
zetausdt,2024-09-21T01:05:28.434+10:00,huobi,192.1543,0.650945145229641
peopleusdt,2024-09-21T01:05:28.437+10:00,huobi,12453.106,0.06535833144272601
runeusdt,2024-09-21T01:05:28.437+10:00,huobi,46.909800000000004,4.548834600445962
sfundusdt,2024-09-21T01:05:28.429+10:00,kucoin,49.677,1.171
wifusdc,2024-09-21T01:05:28.430+10:00,binance,9.68,1.838
mndeusdt,2024-09-21T01:05:28.434+10:00,kucoin,384.6491,0.11171940706477669
ethweur,2024-09-21T01:05:28.472+10:00,kraken,84.0,1.938
dogeusdt,2024-09-21T01:05:28.441+10:00,poloniex,7470.038000000002,0.10688853315378044
firousdt,2024-09-21T01:05:28.450+10:00,binance,24.0,1.198
ethwusdt,2024-09-21T01:05:28.412+10:00,okex,298.95820000000003,2.188297659003833
polcusdt,2024-09-21T01:05:28.468+10:00,huobi,1847.453,0.007039
floki2usdt,2024-09-21T01:05:28.468+10:00,huobi,4100835.52,1.366432268294925E-4
dkausdt,2024-09-21T01:05:28.469+10:00,huobi,2768.6,0.020577634046088276
ethwusdt,2024-09-21T01:05:28.475+10:00,kucoin,0.0701,2.1858
pandorausdt,2024-09-21T01:05:28.496+10:00,huobi,0.038005,1439.4
cybertry,2024-09-21T01:05:28.484+10:00,binance,584.2,125.99999999999999
avaxusdt,2024-09-21T01:05:28.486+10:00,poloniex,17.152981000000004,28.092108445290055
zkjusdt,2024-09-21T01:05:28.491+10:00,mexc,1.09,1.1569
snxusdt,2024-09-21T01:05:28.507+10:00,mexc,0.82,1.544
aptusdt,2024-09-21T01:05:28.507+10:00,poloniex,13.55526,6.799462410901746
safeusdt,2024-09-21T01:05:28.522+10:00,huobi,237.3516,0.7289384633598425
wldusdt,2024-09-21T01:05:28.535+10:00,binance,2972.2,1.678012347755871
celousdt,2024-09-21T01:05:28.535+10:00,binance,1909.9,0.52736842766637
dechatusdt,2024-09-21T01:05:28.554+10:00,huobi,395.6577,0.2804
opusdt,2024-09-21T01:05:28.511+10:00,okex,121.81230000000001,1.6836934587886445
avaxusdt,2024-09-21T01:05:28.516+10:00,okex,52.090467000000004,28.06216052587895
btceur,2024-09-21T01:05:28.642+10:00,gdax,1.5563E-4,57222.48999999999
cvxusdt,2024-09-21T01:05:28.572+10:00,huobi,19.7312,2.1008
usdcusdt,2024-09-21T01:05:28.575+10:00,binance,24964.0,0.9998929979170003
agldusdt,2024-09-21T01:05:28.468+10:00,bibox,0.1017,0.9007000000000001
shrapusdt,2024-09-21T01:05:28.596+10:00,huobi,5059.6842,0.028776000000000003
egldusdt,2024-09-21T01:05:28.595+10:00,huobi,2.4809,28.218983655125147
bcutusdt,2024-09-21T01:05:28.590+10:00,kucoin,471.6551,0.02499
rlyusdt,2024-09-21T01:05:28.603+10:00,huobi,2102.29,0.005955
iousdt,2024-09-21T01:05:28.608+10:00,mexc,69.02,2.173
uniusdt,2024-09-21T01:05:28.600+10:00,binance,33.35,6.895
wldusdt,2024-09-21T01:05:28.589+10:00,bybit,1013.8899999999999,1.6771667587213606
wldusdt,2024-09-21T01:05:28.589+10:00,bybit,1013.8899999999999,1.6771667587213606
babydogeusdt,2024-09-21T01:05:28.648+10:00,huobi,3.457216940368E10,2.314E-9
wifusdt,2024-09-21T01:05:28.659+10:00,mexc,267.59000000000003,1.8380104637691992
minausdt,2024-09-21T01:05:28.663+10:00,huobi,263.7672,0.50738032276189
wsdmusdt,2024-09-21T01:05:28.663+10:00,huobi,3732.5829000000003,0.022813956932905628
yfiiusdt,2024-09-21T01:05:28.674+10:00,huobi,0.2678,363.5235425317401
hbarusdt,2024-09-21T01:05:28.679+10:00,huobi,2497.06,0.05337999999999999
boringusdt,2024-09-21T01:05:28.682+10:00,huobi,13525.59,0.001913000799225764
bicousdt,2024-09-21T01:05:28.700+10:00,huobi,125.2089,0.2396
masausdt,2024-09-21T01:05:28.704+10:00,huobi,1025.253,0.06597
babydogeusdt,2024-09-21T01:05:28.707+10:00,mexc,3.744324911E9,2.3125E-9
gmeeusdt,2024-09-21T01:05:28.734+10:00,huobi,6548.5372,0.013826856591911857
zeususdt,2024-09-21T01:05:28.725+10:00,poloniex,436886.19999999995,1.893342348648229E-5
uftusdt,2024-09-21T01:05:28.737+10:00,binance,313.0,0.2339
sandusdt,2024-09-21T01:05:28.733+10:00,poloniex,1072.6148,0.27294534242861457
womusdt,2024-09-21T01:05:28.749+10:00,mexc,192.37,0.006551
tngospwstetheth,2024-09-21T01:05:27.000+10:00,balancerarbitrum,1.0E-13,1.177168592371899
dogsusdt,2024-09-21T01:05:28.742+10:00,kucoin,1501.0,0.001009
xecusdt,2024-09-21T01:05:28.759+10:00,huobi,2089819.68,3.3495713554578065E-5
ufousdt,2024-09-21T01:05:28.757+10:00,mexc,6087691.76,4.1409999999999993E-7
deeznutsusdt,2024-09-21T01:05:28.773+10:00,mexc,5074.37,2.27E-4
deeznutsusdt,2024-09-21T01:05:28.773+10:00,mexc,5011.39,2.26E-4
deeznutsusdt,2024-09-21T01:05:28.773+10:00,mexc,1074.95,2.25E-4
phausdt,2024-09-21T01:05:28.785+10:00,huobi,443.8805,0.112643
bbusdt,2024-09-21T01:05:28.796+10:00,binance,2356.7999999999997,0.3658213594704684
c98usdt,2024-09-21T01:05:28.809+10:00,huobi,298.2852,0.1341
ksmusdt,2024-09-21T01:05:28.826+10:00,huobi,5.664,21.221066666666665
sagausdt,2024-09-21T01:05:28.816+10:00,binance,12.2,2.430044262295082
adausdt,2024-09-21T01:05:28.829+10:00,huobi,2101.8185000000003,0.3606858569021063
omniusdt,2024-09-21T01:05:28.834+10:00,huobi,49.479,9.216153788880131
navxusdt,2024-09-21T01:05:28.835+10:00,huobi,1529.625,0.09219105688126174
zkusdt,2024-09-21T01:05:28.842+10:00,huobi,1557.7735,0.1279
enjusdt,2024-09-21T01:05:28.695+10:00,bibox,295.8295,0.1550948309752746
vibusdt,2024-09-21T01:05:28.840+10:00,binance,409.0,0.0725
forusdt,2024-09-21T01:05:28.853+10:00,huobi,6822.65,0.003745994314525881
aptusdt,2024-09-21T01:05:28.837+10:00,poloniex,4.1228,6.817
winusdt,2024-09-21T01:05:28.841+10:00,poloniex,8333227.599999999,9.122644421940427E-5
btcusdt,2024-09-21T01:05:28.849+10:00,binance,0.06945000000000001,63893.745075593935
clvusdt,2024-09-21T01:05:28.875+10:00,huobi,2460.9173,0.04365662428802463
aipadusdt,2024-09-21T01:05:28.875+10:00,kucoin,1288.6379,0.05414000000000001
ceekusdt,2024-09-21T01:05:28.889+10:00,huobi,414.0732,0.0316
kavausdt,2024-09-21T01:05:28.890+10:00,binance,772.3,0.40030199404376543
mantausdt,2024-09-21T01:05:28.906+10:00,huobi,137.9214,0.7910984064836929
celousdt,2024-09-21T01:05:28.904+10:00,huobi,135.09629999999999,0.5275438699653507
nakausdt,2024-09-21T01:05:28.892+10:00,poloniex,1197.28,0.9612999999999999
prclusdt,2024-09-21T01:05:28.864+10:00,okex,2647.733,0.23800557960338148
ltcusdt,2024-09-21T01:05:28.873+10:00,okex,0.367046,66.2
tomiusdt,2024-09-21T01:05:28.927+10:00,mexc,488.0,0.0518
wldusdt,2024-09-21T01:05:28.914+10:00,poloniex,206.25218999999998,1.6416039946048573
idexusdt,2024-09-21T01:05:28.934+10:00,huobi,2587.8282,0.04270000000000001
frmusdt,2024-09-21T01:05:28.928+10:00,kucoin,416.9435,0.01886
duskusdt,2024-09-21T01:05:28.926+10:00,binance,3745.0,0.22995692923898536
uxlinkusdt,2024-09-21T01:05:28.889+10:00,okex,400.47,0.6686000000000001
ltcusdt,2024-09-21T01:05:28.925+10:00,poloniex,3.8008859999999998,66.14408333504346
galausd,2024-09-21T01:05:28.000+10:00,bitstamp,1000.0,0.020369999999999996
stptusdt,2024-09-21T01:05:28.937+10:00,binance,1807.8999999999999,0.047097838376016374
magicusdt,2024-09-21T01:05:28.949+10:00,huobi,544.5461,0.37904707770379775
mxusdt,2024-09-21T01:05:28.936+10:00,mexc,177.53000000000003,3.9881375711147404
opusdt,2024-09-21T01:05:28.955+10:00,huobi,515.6596000000001,1.6831158086846436
opusdt,2024-09-21T01:05:28.936+10:00,mexc,149.72,1.683
unbusdt,2024-09-21T01:05:28.943+10:00,mexc,6687.02,3.771E-4
sklusdt,2024-09-21T01:05:28.959+10:00,mexc,1781.62,0.03626
uxlinkusdt,2024-09-21T01:05:28.949+10:00,kucoin,34.47,0.6694
zcxusdt,2024-09-21T01:05:28.977+10:00,huobi,672.948,0.0743
eurusdt,2024-09-21T01:05:28.967+10:00,binance,902.0,1.116624423503326
bondusdt,2024-09-21T01:05:28.959+10:00,gateio,3060.643,2.402397579854952
dexeusdt,2024-09-21T01:05:28.970+10:00,binance,4.39,8.701
bchusdc,2024-09-21T01:05:28.990+10:00,mexc,0.03,343.59
aevousdt,2024-09-21T01:05:28.997+10:00,mexc,3.22,0.39199999999999996
cotiusd,2024-09-21T01:05:29.032+10:00,kraken,20.0,0.12289999999999998
ctxcusdt,2024-09-21T01:05:29.005+10:00,mexc,7.47,0.1688
cotitry,2024-09-21T01:05:28.999+10:00,binance,2171.0,4.189
cotiusdt,2024-09-21T01:05:29.007+10:00,mexc,126.0,0.1229
lokausdt,2024-09-21T01:05:29.011+10:00,huobi,171.6004,0.2331
