ticker,date,exchange_platform,trade_volume,trade_price
bsvusdt,2024-09-21T01:05:21.574+10:00,huobi,2.9795,49.66669305588186
soulusdt,2024-09-21T01:05:21.582+10:00,mexc,105289.23,3.626E-4
luna2usdt,2024-09-21T01:05:21.575+10:00,mexc,3.13,0.4034
ethwusdt,2024-09-21T01:05:21.541+10:00,okex,425.7547,2.1785795701139636
ethfdusd,2024-09-21T01:05:21.583+10:00,binance,53.52149999999994,2543.000124585451
solusdt,2024-09-21T01:05:21.584+10:00,binance,330.68800000000005,148.55377673214622
bttcusdt,2024-09-21T01:05:21.595+10:00,huobi,1.328709465265E8,9.052E-7
manekiusdt,2024-09-21T01:05:21.537+10:00,poloniex,3422.34,0.006575
zecusdt,2024-09-21T01:05:21.566+10:00,poloniex,18.141003000000005,32.153102372564504
availusdt,2024-09-21T01:05:21.593+10:00,mexc,8.52,0.14806
minausdt,2024-09-21T01:05:21.639+10:00,huobi,288.5812,0.5073605540485658
grtbtc,2024-09-21T01:05:21.632+10:00,binance,50.0,2.52E-6
tngospageurusdc,2024-09-21T01:05:21.000+10:00,uniswapv3polygon,1.0E-13,1.1133262427283162
memeusdt,2024-09-21T01:05:21.685+10:00,huobi,15364.3936,0.011031796079000478
vidtusdt,2024-09-21T01:05:21.668+10:00,binance,4445.0,0.04633368053993251
solusd,2024-09-21T01:05:21.760+10:00,gdax,534.69176222,148.5504833962712
blzusdt,2024-09-21T01:05:21.701+10:00,huobi,86.32,0.1559
hbarbnb,2024-09-21T01:05:21.692+10:00,binance,170.0,9.28E-5
forusdt,2024-09-21T01:05:21.710+10:00,huobi,3384.5,0.003737
tnsrusdt,2024-09-21T01:05:21.708+10:00,binance,152.1,0.3893
vibusdt,2024-09-21T01:05:21.712+10:00,binance,246.0,0.07238
monusdt,2024-09-21T01:05:21.708+10:00,kucoin,266.84,0.1403
topusdt,2024-09-21T01:05:21.722+10:00,huobi,193236.7152,2.07E-4
tngospcrvusdusdt,2024-09-21T01:05:20.000+10:00,curvefiarbitrum,1.0E-13,0.9955552751947396
tornusdt,2024-09-21T01:05:21.722+10:00,mexc,0.501,2.52
lokausdt,2024-09-21T01:05:21.731+10:00,binance,3864.3,0.23279302072820432
linausdt,2024-09-21T01:05:21.740+10:00,huobi,25011.0697,0.0042650041576910245
pixelusdt,2024-09-21T01:05:21.737+10:00,binance,46952.3,0.14771130530346754
stgusdt,2024-09-21T01:05:21.738+10:00,binance,1388.7,0.3375
racausdt,2024-09-21T01:05:21.692+10:00,okex,160000.0,1.614E-4
dotusdt,2024-09-21T01:05:21.748+10:00,poloniex,21.49056,4.375
xmrusdt,2024-09-21T01:05:21.754+10:00,poloniex,1.226671,176.76112387102978
wsdmusdt,2024-09-21T01:05:21.774+10:00,huobi,3641.5683,0.02280349946669956
zrousdt,2024-09-21T01:05:21.777+10:00,huobi,46.753,4.3822975640065875
dodobnb,2024-09-21T01:05:17.000+10:00,pancakeswap,17.725111477530486,2.2566853839371687E-4
