ticker,date,exchange_platform,trade_volume,trade_price
usdcchf,2024-09-21T01:05:35.088+10:00,kraken,34.25711259,0.847
celousdt,2024-09-21T01:05:35.002+10:00,okex,1084.233403,0.5277554249663713
htxusdt,2024-09-21T01:05:35.038+10:00,poloniex,5.127386883E8,1.2665223382803194E-6
usdceur,2024-09-21T01:05:35.094+10:00,kraken,212.25393122,0.8954
solusdt,2024-09-21T01:05:15.000+10:00,orca,0.009543203,148.5838664440021
galausd,2024-09-21T01:05:35.000+10:00,bitstamp,1000.0,0.020369999999999996
mkrusdt,2024-09-21T01:05:35.058+10:00,mexc,0.002,1567.4999999999998
mubiusdt,2024-09-21T01:05:35.082+10:00,huobi,1913.035,0.03
kavausdt,2024-09-21T01:05:35.086+10:00,huobi,49.27,0.4
btcfdusd,2024-09-21T01:05:35.085+10:00,binance,0.9183299999999988,63920.23548724325
suitry,2024-09-21T01:05:35.090+10:00,binance,41.2,48.53927184466019
lqtyusdt,2024-09-21T01:05:35.048+10:00,okex,884.3637,1.014400569822122
velousdt,2024-09-21T01:05:35.103+10:00,huobi,12497.379,0.01595887377538922
cotiusdt,2024-09-21T01:05:35.095+10:00,binance,27444.0,0.12320250182189184
storjusdt,2024-09-21T01:05:35.107+10:00,huobi,116.4489,0.4104
opusdt,2024-09-21T01:05:35.106+10:00,binance,17206.240000000005,1.682705775346618
eosbtc,2024-09-21T01:05:35.118+10:00,mexc,1.368,8.102E-6
ssvusdt,2024-09-21T01:05:35.133+10:00,mexc,0.06,23.46
omniusdt,2024-09-21T01:05:35.133+10:00,huobi,21.979,9.2051
ethfiusdt,2024-09-21T01:05:35.086+10:00,okex,19.4357,1.563
filusdt,2024-09-21T01:05:35.142+10:00,huobi,183.6608,3.8096685036763422
voxelusdt,2024-09-21T01:05:35.154+10:00,binance,1844.1,0.1717
dogeusdt,2024-09-21T01:05:35.159+10:00,poloniex,10879.904,0.10686315138469973
gmxusdt,2024-09-21T01:05:35.181+10:00,mexc,0.05,25.51
pepeusdt,2024-09-21T01:05:35.177+10:00,binance,2.7298255E7,8.29E-6
