ticker,date,exchange_platform,trade_volume,trade_price
pixeltry,2024-09-21T01:05:32.867+10:00,binance,3192.1,5.03
combousdt,2024-09-21T01:05:32.878+10:00,mexc,12.21,0.4469
corechainusd,2024-09-21T01:05:32.942+10:00,gdax,8.76,1.1
cyberusdt,2024-09-21T01:05:32.883+10:00,huobi,25.5312,3.709877359466065
swapusdt,2024-09-21T01:05:32.884+10:00,huobi,691.8559,0.1123
rezusdt,2024-09-21T01:05:32.900+10:00,huobi,1900.2376,0.0421
lptusdt,2024-09-21T01:05:32.853+10:00,okex,0.25,13.889
waxpusdt,2024-09-21T01:05:32.907+10:00,huobi,375.3,0.033756
supertry,2024-09-21T01:05:32.903+10:00,binance,149.60000000000002,31.095802139037428
mobileusdt,2024-09-21T01:05:32.914+10:00,mexc,1128.53,0.001118
aitechusdt,2024-09-21T01:05:32.945+10:00,huobi,883.7162,0.08112
bigtimeusdt,2024-09-21T01:05:32.946+10:00,mexc,137.22,0.14385
blurtry,2024-09-21T01:05:32.935+10:00,binance,410.0,7.130000000000001
ergusdt,2024-09-21T01:05:32.949+10:00,huobi,47.2925,0.686
turtusdt,2024-09-21T01:05:32.952+10:00,huobi,27548.1986,0.00255
gameusdt,2024-09-21T01:05:32.952+10:00,huobi,48552.6152,0.0036710992909564223
nexgusdt,2024-09-21T01:05:32.960+10:00,huobi,70301.8312,0.00447
apeusdt,2024-09-21T01:05:32.956+10:00,binance,1809.86,0.8099815897362227
cvxusdt,2024-09-21T01:05:32.921+10:00,okex,13.137901,2.1182283469787144
athusdt,2024-09-21T01:05:32.921+10:00,okex,3115.0,0.06062
dogeusdt,2024-09-21T01:05:32.974+10:00,huobi,22494.15,0.10686414512084254
ismeusdt,2024-09-21T01:05:32.956+10:00,kucoin,89.3,0.00215
cvxusdt,2024-09-21T01:05:32.926+10:00,okex,24.769459,2.115
jasmyusdt,2024-09-21T01:05:32.988+10:00,huobi,1846.978,0.021657
wenusdt,2024-09-21T01:05:32.995+10:00,huobi,1327054.8199999998,9.73E-5
ltcusd,2024-09-21T01:05:33.000+10:00,bitstamp,1.074,66.21
dogsusdt,2024-09-21T01:05:32.992+10:00,mexc,1848304.62,0.0010104041131726437
ccdusdt,2024-09-21T01:05:32.993+10:00,mexc,9908.93,0.003724
shibtry,2024-09-21T01:05:33.008+10:00,binance,3.3834164E7,4.923604937128046E-4
tngospwstetheth,2024-09-21T01:05:32.000+10:00,balancerarbitrum,1.0E-13,1.177168592371899
cvcusd,2024-09-21T01:05:33.092+10:00,gdax,30.0,0.1137
reiusdt,2024-09-21T01:05:33.026+10:00,huobi,1651.1101000000003,0.05370799864418489
cvcusd,2024-09-21T01:05:33.092+10:00,gdax,59579.0,0.11360204854059318
jstusdt,2024-09-21T01:05:33.015+10:00,poloniex,9788.362,0.028517373161924334
