ticker,date,exchange_platform,trade_volume,trade_price
ethusdt,2024-09-21T01:05:37.064+10:00,okex,0.12015300000000001,2541.7414756185854
fetusdt,2024-09-21T01:05:37.093+10:00,okex,259.604,1.5912824810095376
ldousdt,2024-09-21T01:05:37.140+10:00,okex,445.88419999999996,1.0880047097430232
linkbtc,2024-09-21T01:05:37.196+10:00,binance,6965.989999999999,1.820129143165581E-4
barusdt,2024-09-21T01:05:37.199+10:00,binance,18.65,1.7484434316353887
pythusdt,2024-09-21T01:05:37.211+10:00,huobi,959.2797,0.32511009325267703
fdusdusdt,2024-09-21T01:05:37.204+10:00,binance,38993.0,0.9996000820660119
adausd,2024-09-21T01:05:37.286+10:00,gdax,482.31797494,0.3606999999999999
looksusdt,2024-09-21T01:05:37.207+10:00,mexc,55.32,0.045575
linkeur,2024-09-21T01:05:37.198+10:00,binance,3.89,10.41
ftmusd,2024-09-21T01:05:37.264+10:00,kraken,1467.95302232,0.6515290872103466
navxusdt,2024-09-21T01:05:37.230+10:00,huobi,798.7468,0.091926
kncusdt,2024-09-21T01:05:37.229+10:00,huobi,459.28999999999996,0.5007311110627273
ardrusdt,2024-09-21T01:05:37.235+10:00,huobi,2944.5154,0.07019999999999998
btckrw,2024-09-21T01:05:37.196+10:00,upbit,1.1738E-4,8.5189E7
swftcusdt,2024-09-21T01:05:37.236+10:00,huobi,8795.578,0.0035045
bicousd,2024-09-21T01:05:37.324+10:00,gdax,72.1,0.23890000000000006
foxyusdt,2024-09-21T01:05:37.212+10:00,okex,100.0,0.0088144
ogusdt,2024-09-21T01:05:37.258+10:00,binance,10.9,3.0940000000000003
ceekusdt,2024-09-21T01:05:37.280+10:00,huobi,412.8071,0.0318
tngospwstetheth,2024-09-21T01:05:36.000+10:00,balancerarbitrum,1.0E-13,1.177168592371899
herousdt,2024-09-21T01:05:37.301+10:00,mexc,1131.01,0.0011176
tngospcrvusdusdt,2024-09-21T01:05:36.000+10:00,curvefiarbitrum,1.0E-13,0.9955552751947396
suiusdt,2024-09-21T01:05:37.302+10:00,binance,5916.699999999999,1.4264881826017886
zilusdt,2024-09-21T01:05:37.259+10:00,okex,5331.1786,0.01466
jupusdt,2024-09-21T01:05:37.260+10:00,okex,326.204,0.8558272835403612
linkusdt,2024-09-21T01:05:37.260+10:00,okex,15.543777,11.622
pbuxusdt,2024-09-21T01:05:37.321+10:00,huobi,7168.94,0.022980000000000004
manausdt,2024-09-21T01:05:37.322+10:00,huobi,780.17,0.3004
xrpusdt,2024-09-21T01:05:37.264+10:00,okex,1297.753763,0.5899632014242905
gmtusdt,2024-09-21T01:05:37.271+10:00,okex,1343.8211999999999,0.1363732311337252
funusdt,2024-09-21T01:05:37.318+10:00,binance,9773.0,0.003492
luna2usdt,2024-09-21T01:05:37.344+10:00,huobi,611.4249,0.40320000000000006
aipadusdt,2024-09-21T01:05:37.347+10:00,mexc,250.09,0.05438
rariusdt,2024-09-21T01:05:37.350+10:00,mexc,0.71,1.7759999999999998
dodousdt,2024-09-21T01:05:37.361+10:00,huobi,582.5486,0.12888323645443486
nulsusdt,2024-09-21T01:05:37.388+10:00,binance,1040.0,0.38567019230769223
